id,title,company,description,industry_of_company,summary_of_applicant
2,"Broker. Broker Associate Commercial Real Estate Sales and Leasing. President. Senior Vice President. Site Aquisitions and Leasing Manager. Vice President Sales and Leasing. Vice President, Broker",Adler Realty Services LLC. City Construction & Development. Lee & Associates Miami. Mortgage Proccessors Inc.. NM Commercial Realty. Prestige International Realty. Stiles,,,"Accomplished 20 year commercial real estate veteran and CCIM designee. Currently the Site Aquisitions and Leasing Manager at City Construction and Development.  Responsible for supporting the company's expanding development objectives by managing and conducting detailed site demographic and feasibility analysis, creating leasing strategies and sales forecasting analysis for all markets and sites being considered. Successful track record of closing millions of dollars in complex sales and leasing transactions throughout the South Florida market. Passionate and dedicated to delivering best in class customer service."
3,Sales Agent,www.camella.com.ph,"I am responsible for the booth in the Malls during my duties, for inquiries, for tripping, assisting & dealing with my prospects and clients, listening and doing some actions about their concerns and so on and so forth",,"I do want to work in U.S. or in Europe, it doesn't matter if what kind of job as long as it's legal and I can do it, if ever I have no experience about other jobs, I am willing to learn, for sure it will be easy for me to learn because I am patient, hard working, and I do love working. My goals is just keep trying to be goofy to make somebody smile & laugh a lot like there's no tomorrow for that lol hehehe! & a lot more"
4,HR Executive. Human Resources Executive. Sales Executive,Acadecraft Inc.. Eqs Placements Pvt Ltd. Global Guide Services GmbH. RELIGARE HEALTH INSURANCE (RHI),". •	Worked as HR Executive with the Organization•	Assisted new hire Orientation•	Coordinated an orientation program for all new employees, including an introduction to organization, staff and employee rules and responsibility•	Coordinate and scheduled interviews•	Develop key recruiting strategies•	Screening of resumes and interview applicants on Telephone as well as F2F•	Maintained, coordinated, monitored, recorded and tracked all the applicants and process within the system•	Worked with departmental manager/Project manager to fill internal positions•	Responsible for total employee Engagement activities•	Responsible for Campus Hiring in 25+ institutes all over the india to meet the requirement •	Resolving internal issues regarding employee and helping them with appropriate solution•	Managing day to day activities of the office premises•	Developed some strategies to retain employees while resolving their issues•	Guided and supported upper management in the fundamentals of learning n",,"Experienced Human Resources Executive with a demonstrated working in the e-learning industry. Skilled in Microsoft Word, Sales, Public Speaking, Management, and Leadership. Strong human resources professional with a Master of Business Administration (MBA) focused in Human Resources Management and Services from Jagannath Institute Of Management Studies. (Delhi)."
5,"Business Reporter (Stock Markets). Correspondent  | Equities | Asia Pacific. Correspondent | Equities | Europe, Middle East and Africa. Reporter | City. Your Money Editor (Personal Finance)",Gulf News. Reuters News Agency. The Hindu,". Daily news coverage on societal and governmental changes, art and culture; Weekly supplemental coverage on college students",,"Being a financial journalist for a decade, I remain in a passionate pursuit of excellence in writing, editing and unbundling complex business concepts to the average reader. Published over 800 business stories for Reuters across different sectors and geographies, with over 100 bylines, before recently migrating back to the Middle East to join UAE-based Gulf News to write and edit personal finance stories and features. Track my stories so far: https://www.reuters.com/journalists/justin-george-varghesehttps://gulfnews.com/search?query=Justin+Varghese"
6,CEO. Co Créateur et animateur de la marque. Directeur d'usine. Technico Commercial,CARIS. CEO &  Founder  IMPC. COSMOPRODUCTS. PHILINE,"Accompagnement de reprise de site et réorganisation industriel Pour vous assister dans votre développement.Une compétence opérationnelle pour accompagner votre stratégie, vos projets d'implantation, ou de reprise de site.Avec une équipe de Senior, professionnel du métier, je vous propose:- Une capacité de création et de conception produits.- Une assistance Management.- Une assistance:   - Achats Sous traitance et packaging   - RH   - IndustrielVous pouvez me joindreinovovmpc@gmail,comA bientôtPhilippe BURGER 06 22 83 67 54          Show less. Marque Esthetique Naturelle. 25 pays. Sous traitance Cosmétique. Soustraitance Cosmétique & Maquillage",,
7,Assistant Prosecuting Attorney. Attorney. Client Trainer,Jackson County. Law Offices of Brian Costello. Legal Aid of Western Missouri. Thomson Reuters Westlaw,"•	Promote healthy contractual relationships between partners, associates and administrative and library staff at small, medium, large and global firms and the Thomson Reuters Sales and Customer Service Team in Missouri, Illinois, Arkansas, Kansas, Oklahoma, Kentucky, Tennessee, Indiana, Ohio, Nebraska and Iowa•	Collaborate with customers to resolve customer service issues regarding password difficulties, billing disputes, public records credentialing, and print issues•	Team with Thomson Reuters Product Specialists to deliver up to date and complete information and training opportunities to customers•	Represent and promote Thomson Reuters at trade shows and association conferences•	Conduct formal and informal education sessions and trainings on Westlaw Classic, Westlaw Edge, Practical Law, Dynamic Tool Set, Monitor Suite and Software and Solutions in large and small group settings both in person and via webinar                                       Show less. •	Supervised Attorneys, Interns and Adm",,
8,Ad Writer. Associate Producer. Author. Game Tester. Graphic Design Instructor. Reservationist. Test Scorer,Aerotek. Courtyard by Marriott. Data Recognition Corporation. Freelance. K Squared Enterprises LLC. The Learning Lamp. Voltage Entertainment USA,"Assessed student responses by applying learned scoring criteria. Maintained statistical accuracy and productivity throughout several projects. Assumed team leadership role when requested.. Assessed student responses by applying learned scoring criteria. Maintained statistical accuracy and productivity throughout the project.. Assessed student responses by applying learned scoring criteria. Maintained statistical accuracy and surpassed required productivity throughout the project.. Created guests’ reservations and enhanced guests’ experiences with personalized customer service, utilizing strong oral and written communication skills. Anticipated and resolved guest issues calmly, quickly, and efficiently. Assisted other departments, such as Administration and Sales, by creating and maintaining groups in the PMS FOSSE system, responding to TripAdvisor and Google Reviews, and other tasks as needed. Acquired multiple accolades, including Employee of the Month and guest mentions on TripAdvisor.                  ",,
9,Assistant Manager- Corporate Relations. Deputy Manager-Placements. HR Generalist,Aambridge Staffing Solutions. ABES Engineering College. Ajay Kumar Garg Engineering College,". I am a diversified Manager in the areas of Training & Placements	Placement activities and Career building is my prime profile for all the Technology and Management students. I am looking overall placement with the Industrial Visits, Industry Interface, HR Managers & Recruiters relationship management, Guest lectures, Internship, MDPs, Training and skills development, Management game etc. 	I am the active Member of Industry Interface & Co-curricular Activity Cell and Student Development - Career Orientation Cell 	Apart from the placement and academic activities I am doing Admission help, Branding and Marketing supports, Management development programme, Educational events management, Institutional survey, Government and Educational policy compliance, Student activity programme, Vender negotiation & services management                                       Show less. RECRUITMENT AND SEARCH	Sourcing of profiles through head hunting, job portals, database, Internet Sourcing, References and Networkin",,"Experienced Human Resources Supervisor with a demonstrated history of working in the education management industry. Skilled in Recruiting, Human Resources, Exit Interviews, Technical Recruiting, and HR Policies. Strong community and social services professional with a Master of Business Administration (MBA) focused in Human Resources Management and Services from Uttar Pradesh Technical University."
10,"Portfolio Manager. Senior Investment Advisor, Portfolio Manager. Vice President & Portfolio Manager",BMO Nesbitt Burns. RBC Dominion Securities. RBC Wealth Management,,,"As a holder of CPA, FSCI,CIM,CIWM, and over 23 years experience, we provide a personalized service through comprehensive investment solutions you need to achieve your specific goals. Whether you are investing for yourself, you family, your business or your organization, you will benefit from the vast array of expertise and resources at BMO Nesbitt Burns.Let us help build your legacy. We, the D'Amico Wealth Management Team at BMO Nesbitt Burns, work with you to get you that peace of mind you've been looking for. When it comes to your wealth, you deserve great quality and great service - nothing lessVisit out website for more information!Any postings on social media are my own and do not necessarilyreflect BMO’s position or viewpoints. The information herein is forCanadian residents only and does not constitute any financial, legal,tax, investment or other advice. Please do not post any personal orconfidential information on this site. Should you wish to discuss yourpersonal financial circumstances please con"
12,"Senior Portfolio Manager, Private Client Group",Raymond James Ltd.,www.bobthompson.ca,,"Managing the Wealth of Mining Executives Bob is a Portfolio Manager and the author of “Stock Market Superstars: Secrets of Canada’s Top Stock Pickers” as well as a sought-after media commentator. He has been featured on Bloomberg TV Canada, Business News Network, CityTV’s Breakfast Television, and has had written works featured in Macleans, the Financial Post as well as the Globe and Mail.Acting as the personal CFO for high-net-worth individuals, Bob and his team provide tailored investment solutions that put his clients in the optimal position to enhance their wealth and legacy. Both aviation and mining are areas of expertise for Bob and his team. Given the cyclical nature and compensation structures of both industries, we are able to provide enhanced value for executives and leaders that have made a career in aviation or mining.Our approach follows a structured process that starts with an in-depth discovery of each of our client’s unique challenges and needs. Utilizing the resources available at R"
