id,title,company_name,location,num_applicants,description,seniority_level,employment_type,job_function,industries,number_of_employees,industry_of_company,size_of_company,followers_of_company
3840686178,Creative Explorer,Jovie,"4S Ranch, CA",Be among the first 25 applicants,"Join the ranks of the Creative Explorers and make a difference with every playdate. Let us match you with families who cherish your creativity. Earn <strong>$18-$20/hr </strong>with direct deposits, report to a supportive team, and enjoy the peace of mind of safety screenings. Bring joy to kids, and build deep connections with families. No corporate structure, just the freedom to explore, backed by training and ongoing support. Ready to start your playful journey? Apply now and let the adventures begin!<br><br><em>Values that guide us: Can Do. Results Matter. Leave it better.<br><br></em><strong>Responsibilities and Requirements:<br><br></strong><ul><li>We are looking for an engaging, child-focused individual who is willing to have fun, play, read, do arts and crafts and other activities; provide an attentive and safe care environment for the child(ren) in your care, screen free! </li><li>1+ year(s) childcare, babysitter or nanny experience, higher payrate for infant and toddler experience.</li><li>Must have a reliable insured vehicle for travel to family homes.</li><li>Minimum age of 18, valid driver’s license</li><li>Hold a high school diploma/GED</li><li>CPR trained or willing to receive training.</li><li>Vaccinated for Covid-19<br><br></li></ul><strong>So, what’s next? Eager to get started? You could be working as early as next week! Follow these instructions to start earning and meeting our amazing families:<br><br></strong><ul><li>Apply with your resume, including your email address &amp; phone number for the fastest connection. </li><li>Almost immediately you will be invited to answer a brief survey and then schedule a virtual interview time convenient to you.</li><li>In our interview, we’ll get to know more about you and your experience and begin to think about the position or the family you might best be a match for.</li><li>You’re a fit? We’ll welcome you to the team with an offer.</li><li>As we work to schedule your orientation and first days of work, we will be verifying your references, getting your background screens completed and preparing your nanny bag of games, activities and more for your first dates of work. </li><li>We’ll continue to support you throughout your time with us from meet ups, bonus opportunities, trainings and more. We’ll be just a phone call or text away when you need us.</li><li>Once on our team, you will be considered for additional work, new positions or promotions that fit your growing skill set.<br><br></li></ul>Powered by JazzHR<br><br>gKslEDftOu",Internship,Full-time,"General Business, Management, and Business Development",Internet Publishing,9173.0,Government Administration,"10,001+ employees","264,953 followers"
3836689184,Special Education Teacher for 23-24 SY,New Story Schools,"Aaronsburg, PA",Be among the first 25 applicants,"Do you have a passion for education and being a part of a mission-driven organization? Do you want to join a fast-growing company with excellent benefits, such as competitive health and wellness benefits, tuition reimbursement, generous paid time off, and so much more?<br><br>New Story School in State College, PA and is seeking a qualified Special Education Teacher to teach our emotional support and/or autistic support students. As a Special Education Teacher, you play an integral role in the success of our students while overseeing the classroom team and the dynamics and functioning of all staff within their classroom.<br><br>$10,000 sign on bonus!<br><br><strong>Responsibilities<br><br></strong>Complete Individualized Education Plan (IEP) process, which includes IEP development, collaboration with multidisciplinary team members, and preparation of required paperwork.<br><br>Develop lesson plans which keep students actively engaged in learning by using a variety of instructional strategies. Lesson plans should be tailored to meet the individual needs of students based on IEP goals and objectives, including modifications listed in specially designed instruction.<br><br>Submit required documentation, including lesson plans, IEPs, report cards, progress reports, evaluation reports, and other related material in a timely manner.<br><br>Work collaboratively with members of the multidisciplinary team to develop/design and implement appropriate services.<br><br><strong>Work Skills<br><br></strong>Must possess interpersonal skills, reflecting appropriate boundaries, to establish and maintain effective working relationships with students, parents/guardians, school/company personnel, and others involved in the child’s educational/behavioral program.<br><br>Must have knowledge of child development, behavior modification techniques, and common behavioral disorders exhibited by children and adolescents.<br><br>Must have strong decision making and leadership skills.<br><br>Must have strong organizational and communication skills<br><br>Must display a professional appearance and demeanor<br><br><strong>Benefits<br><br></strong>Eligible New Story Employees will receive competitive pay and benefits including:<br><br>Medical, Dental, Vision, and Health Savings Account (HSA)<br><br>Company-paid Short-Term Disability and Life Insurance<br><br>Voluntary Life Insurance, Long-Term Disability, Hospital, and Accident Coverage<br><br>Paid time off and paid holidays<br><br>Tuition reimbursement<br><br>401K with 100% vested company contribution<br><br>Healthcare, dependent care, and commuter Flexible Spending Accounts (FSA)<br><br>Employee Assistance Program (EAP)<br><br>Wellness Incentive Program<br><br>Employee Discount Program<br><br>Rewards program which allows you to earn points to purchase items<br><br>New Story School is an educational organization comprised of special education schools in Pennsylvania, Virginia, Ohio, New Jersey, and Massachusetts. We offer an academic learning environment integrated with behavior support services for students diagnosed with autism or emotional/behavioral disorders. Our multidisciplinary teams collaborate with families, school districts, and community partners to empower children in overcoming challenges and creating new stories in their lives.<br><br>New Story Schools is proud to be an equal opportunities employer and embraces diversity in the workplace. We are also committed to providing a drug-free, safe workplace for our employees and the students we serve. For more information about New Story Schools careers and benefits, please visit our website<br><br>To view all our open opportunities, please visit our career site at .<br><br>If you are a current New Story employee, please apply through the UKG system. Click , log in, and navigate to “Open Opportunities” to search and apply for current open opportunities.<br><br>#WPA<br><br><strong>ExperienceRequiredSix Months’ Experience Working With Children With Behavior/learning Disorders<br><br></strong>EducationRequiredBachelors or better in Special Education or related field<br><br><strong>PreferredMasters Or Better In Special Education Or Related Field<br><br></strong>Licenses &amp; CertificationsPreferredPA Teacher License",Entry level,Full-time,Education and Training,Primary and Secondary Education,3355.0,Mechanical Or Industrial Engineering,"10,001+ employees","113,838 followers"
3841629978,Remote Sales Agent,FeyerINC,"Aaronsburg, PA",Be among the first 25 applicants,"Job Description: As a Sales Agent, your primary responsibility is to facilitate the sale of products or services to clients in a professional and efficient manner. This role involves interacting with clients, providing quotes, and communicating with direct vendors to ensure a smooth sales process. Here is a detailed job description: This independent contractor opportunity is commission-based, and your compensation is derived from the profits generated by your sales (1099).<br><br>Age Requirement:<br><br><ul><li></li><ul><li>Must be at least 18 years old.</li></ul><li>Work Authorization:</li><ul><li>Must be authorized to work in the USA, Australia, Mexico, or Colombia.</li></ul><li>Technical Requirements:</li><ul><li>Must have access to reliable high-speed internet to facilitate remote work.</li><li>Must possess a smartphone or computer for communication and task execution.</li><li>Proficiency in email communication is essential for this role.</li></ul><li>Experience:</li><ul><li>No prior experience is needed for this position. We provide comprehensive training to equip you with the necessary skills and knowledge.<br></li></ul></ul>Key Responsibilities:<br><br><ul><li>Client Interaction:</li><ul><li>Communicate with potential clients via phone, email, or other designated communication channels.</li><li>Understand client needs and provide information about the products or services offered.</li></ul><li>Quoting:</li><ul><li>Prepare and provide accurate quotes to clients based on their requirements and our pricing guidelines.</li><li>Assist clients in understanding the details of the quotes, answering questions, and addressing concerns.</li></ul><li>Vendor Communication:</li><ul><li>Establish and maintain effective communication with direct vendors or suppliers.</li><li>Coordinate with vendors to ensure timely delivery and availability of products or services.</li></ul><li>Training:</li><ul><li>Participate in training sessions to develop product knowledge, sales techniques, and customer service skills.</li><li>Stay updated on industry trends and changes to products/services.</li></ul><li>Documentation:</li><ul><li>Maintain accurate records of client interactions, quotes, and sales activities.</li></ul><li>Customer Service:</li><ul><li>Provide excellent customer service by addressing client inquiries, resolving issues, and ensuring overall satisfaction. <br></li></ul></ul>This Sales Agent position offers an opportunity for individuals to enter the sales field without prior experience. Successful candidates will receive comprehensive training and support to excel in their roles. Strong communication skills, attention to detail, and a customer-focused attitude are key attributes for success in this position.<br><br>Powered by JazzHR<br><br>nQ0braRGbU",Entry level,Full-time,Sales and Business Development,Internet Publishing,38192.0,Broadcast Media Production and Distribution,"10,001+ employees","2,067,368 followers"
3834620843,"AI Training Associate (Flexible hours, Remote)",DataAnnotation,"Abbeville County, SC",Be among the first 25 applicants,"Description: This is a full-time or part-time REMOTE position. You'll be able to choose which projects you want to work on, and you can work on your own schedule. Projects are paid hourly, starting at $20 USD per hour, with bonuses for high-quality and high-volume work. With a variety of projects to choose from, many involving writing or evaluating chatbot conversations, you can choose to work on what interests you the most! Note that work may fluctuate based on availability and based on your particular skill sets.<br><br>We are looking for writers and curious, detail-oriented people to join our team and teach AI chatbots. You will have conversations with chatbots that we work with in order to measure their progress, as well as write novel conversations in order to teach them what to say. In this role, you will need a strong imagination and attention to detail to create useful conversations and measure their quality. You do not need experience to apply, although if your background looks good, there will be a starter assessment that will serve as your interview when you sign up. We will provide training, and many people find this work quite engaging and repeatable.<br><br><strong>Responsibilities<br><br></strong><ul><li>Come up with diverse conversations</li><li>Write high-quality answers</li><li>Compare the performance of different AI models</li><li>Research and fact-check AI responses<br><br></li></ul><strong>Qualifications<br><br></strong><ul><li>Fluency in English</li><li>Detail-oriented</li><li>Excellent writing and grammar skills</li><li>Strong research and fact-checking skills to ensure accuracy and originality</li><li>A bachelor's degree (completed or in progress)<br><br></li></ul>Note: Payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. This job is only available to those in the US, UK, Ireland, Canada, Australia, or New Zealand. Those located outside of these countries will not see work or assessments available on our site at this time.",Entry level,Part-time,Management and Manufacturing,Software Development,37391.0,IT Services and IT Consulting,"10,001+ employees","1,571,745 followers"
3834625465,Freelance Writer,DataAnnotation,"Abbeville County, SC",Be among the first 25 applicants,"This is a full-time or part-time REMOTE position. You'll be able to choose which projects you want to work on, and you can work on your own schedule. Projects are paid hourly, starting at $20 per hour, with bonuses for high-quality and high-volume work. With a variety of projects to choose from, many involving writing or evaluating chatbot conversations, you can choose to work on what interests you the most!<br><br>We are looking for expert writers and curious, detail-oriented people to join our team and teach AI chatbots. You will have conversations with chatbots that we work with in order to measure their progress, as well as write novel conversations in order to teach them what to say. In this role, you will need a strong imagination and attention to detail to create useful conversations and measure their quality. We are looking for professional writers and copy editors.<br><br><strong>Responsibilities<br><br></strong><ul><li>Come up with diverse conversations</li><li>Write high-quality answers</li><li>Compare the performance of different AI models</li><li>Research and fact-check AI responses<br><br></li></ul><strong>Qualifications<br><br></strong><ul><li>Professional writer and/or editor</li><li>Fluency in English</li><li>Detail-oriented</li><li>Excellent writing and grammar skills</li><li>Strong research and fact-checking skills to ensure accuracy and originality<br><br></li></ul>Note: Payment is made via PayPal. We will never ask for any money from you. PayPal will handle any currency conversions from USD. This job is only available to those in the US, UK, Ireland, Canada, Australia, or New Zealand. Those located outside of these countries will not see work or assessments available on our site at this time.",Entry level,Part-time,"Marketing, Public Relations, and Writing/Editing",Software Development,7257.0,Oil and Gas,"10,001+ employees","456,503 followers"
3841510811,Remote Sales Agent,FeyerINC,"Abbeville, GA",Be among the first 25 applicants,"Job Description: As a Sales Agent, your primary responsibility is to facilitate the sale of products or services to clients in a professional and efficient manner. This role involves interacting with clients, providing quotes, and communicating with direct vendors to ensure a smooth sales process. Here is a detailed job description:This independent contractor opportunity is commission-based, and your compensation is derived from the profits generated by your sales (1099).<br><br>Age Requirement:<br><br><ul><li></li><ul><li>Must be at least 18 years old.</li></ul><li>Work Authorization:</li><ul><li>Must be authorized to work in the USA, Australia, Mexico, or Colombia.</li></ul><li>Technical Requirements:</li><ul><li>Must have access to reliable high-speed internet to facilitate remote work.</li><li>Must possess a smartphone or computer for communication and task execution.</li><li>Proficiency in email communication is essential for this role.</li></ul><li>Experience:</li><ul><li>No prior experience is needed for this position. We provide comprehensive training to equip you with the necessary skills and knowledge.<br></li></ul></ul>Key Responsibilities:<br><br><ul><li>Client Interaction:</li><ul><li>Communicate with potential clients via phone, email, or other designated communication channels.</li><li>Understand client needs and provide information about the products or services offered.</li></ul><li>Quoting:</li><ul><li>Prepare and provide accurate quotes to clients based on their requirements and our pricing guidelines.</li><li>Assist clients in understanding the details of the quotes, answering questions, and addressing concerns.</li></ul><li>Vendor Communication:</li><ul><li>Establish and maintain effective communication with direct vendors or suppliers.</li><li>Coordinate with vendors to ensure timely delivery and availability of products or services.</li></ul><li>Training:</li><ul><li>Participate in training sessions to develop product knowledge, sales techniques, and customer service skills.</li><li>Stay updated on industry trends and changes to products/services.</li></ul><li>Documentation:</li><ul><li>Maintain accurate records of client interactions, quotes, and sales activities.</li></ul><li>Customer Service:</li><ul><li>Provide excellent customer service by addressing client inquiries, resolving issues, and ensuring overall satisfaction. <br></li></ul></ul>This Sales Agent position offers an opportunity for individuals to enter the sales field without prior experience. Successful candidates will receive comprehensive training and support to excel in their roles. Strong communication skills, attention to detail, and a customer-focused attitude are key attributes for success in this position.<br><br>Powered by JazzHR<br><br>tSSkmbXkRi",Entry level,Full-time,Sales and Business Development,Internet Publishing,287967.0,Software Development,"10,001+ employees","33,448,046 followers"
3772688501,Emergency Medicine NP/PA,SCP Health,"Abbeville, LA",Be among the first 25 applicants,"<strong>Job Description<br><br></strong><ul><li>17K annual ED volume </li><li>7 ED beds </li><li>24 hours single physician coverage </li><li>12 hours double NP/PA coverage <br><br></li></ul>Facility Information<br><br>Abbeville General Hospital is a 60-bed acute care hospital, providing a wide range of healthcare services to the community of Vermilion County and surrounding areas. Abbeville General Hospital has earned The Joint Commission's Gold Seal of Approval and has been recognized by The Joint Commission as Top Performer on Key Quality Measures.<br><br>Community Information<br><br>Abbeville is known as 'The Bay City' because of its vicinity to the Gulf of Mexico's Vermilion Bay. This historic town offers lots of local amenities and affordable cost of living. Served by the Vermilion Parish School District, Abbeville provides many options for public and private schools. Abbeville is only about 60 miles southwest of Baton Rouge and 150 miles west of New Orleans.",Mid-Senior level,Full-time,Health Care Provider,Hospitals and Health Care,0.0,,,"22,519 followers"
3772688544,Emergency Medicine Physician,SCP Health,"Abbeville, LA",Be among the first 25 applicants,"<strong>Job Description<br><br></strong><ul><li>17K annual ED volume </li><li>7 ED beds </li><li>24 hours single physician coverage </li><li>12 hours double NP/PA coverage <br><br></li></ul>Facility Information<br><br>Abbeville General Hospital is a 60-bed acute care hospital, providing a wide range of healthcare services to the community of Vermilion County and surrounding areas. Abbeville General Hospital has earned The Joint Commission's Gold Seal of Approval and has been recognized by The Joint Commission as Top Performer on Key Quality Measures.<br><br>Community Information<br><br>Abbeville is known as 'The Bay City' because of its vicinity to the Gulf of Mexico's Vermilion Bay. This historic town offers lots of local amenities and affordable cost of living. Served by the Vermilion Parish School District, Abbeville provides many options for public and private schools. Abbeville is only about 60 miles southwest of Baton Rouge and 150 miles west of New Orleans.",Mid-Senior level,Full-time,Health Care Provider,Hospitals and Health Care,0.0,,,"22,519 followers"
3821196477,Outpatient Registered Nurse - RN,Fresenius Medical Care North America,"Abbeville, LA",Be among the first 25 applicants,"<strong>PURPOSE AND SCOPE: <br><br></strong>The professional registered nurse Outpatient RN CAP 1 is an entry level designation into the Clinical Advancement Program (CAP). This position is accountable and responsible for the provision and coordination of clinically competent care including assessment, planning, intervention and evaluation for an assigned group of patients. This may include delegation of appropriate tasks to direct patient care staff including but not limited to RNs, LVN/LPNs and Patient Care Technicians. As a member of the End Stage Kidney Disease (ESKD) health care team, this position participates in decision-making, teaching, leadership functions, and quality improvement activities that enhance patient care outcomes and facility operations.<br><br><strong> PRINCIPAL DUTIES AND RESPONSIBILITIES: <br><br></strong>All duties and responsibilities are expected to be performed in accordance with Fresenius Kidney Care policy, procedures, standards of nursing practice, state and federal regulations.<br><br><ul><li>Performs all essential functions under the direction of the Supervisor and with guidance from the Clinical Educator, Preceptor or in collaboration with other Registered Nurses. </li><li>Performs ongoing, systematic collection and analysis of patient data pre – during – post hemodialysis treatment for assigned patients and documents in the patient medical record, makes adjustments or modifications to treatment plan as indicated and notifies Team Leader, Charge Nurse, Supervisor or Physician as needed. </li><li>Assesses, collaborates, and documents patient/family’s basic learning needs to provide initial and ongoing education to patients and family. </li><li>Directs and provides, in collaboration with direct and ancillary patient care staff, all aspects of the daily provision of safe and effective delivery of hemodialysis therapy to assigned patients. </li><li>Administers medications as prescribed or in accordance with approved algorithm(s), and documents appropriate medical justification and effectiveness. </li><li>Initiates or assists with emergency response measures. </li><li>Serves as a resource for health care team, participates in staff training and orientation of new staff as assigned. </li><li>Ensures correct laboratory collection, processing and shipping procedures are performed and reschedules missed or insufficient laboratory collections. </li><li>Identifies expected outcomes, documents and updates the nursing assessment and plan of care for assigned patients through collaboration with the Interdisciplinary Team. </li><li>Ensures patient awareness related to transplant and treatment modality options. </li><li>Required to complete CAP requirements to advance. </li><li>Performs all other duties as assigned by Supervisor. <br><br></li></ul><strong>PHYSICAL DEMANDS AND WORKING CONDITIONS:<br><br></strong>The physical demands and work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.<br><br><ul><li>The position provides direct patient care that regularly involves heavy lifting, moving of patients and assisting with ambulation. Equipment aids and/or coworkers may provide assistance. </li><li>This position requires frequent, prolonged periods of standing and the employee must be able to bend over. </li><li>The employee may occasionally be required to move, with assistance, machines and equipment of up to 200 lbs., and may lift chemical and water solutions of up to 30 lbs. as high as 5 feet. </li><li>The work environment is characteristic of a health care facility with air temperature control and moderate noise levels. </li><li>May be exposed to infectious and contagious diseases/materials. </li><li>Day to day work includes desk work, computer work, interaction with patients, facility/hospital staff and physicians. </li><li>The position may require travel to training sites or other facilities. </li><li>May be asked to provide essential functions of this position in other locations with the same physical demands and working conditions as described above. </li><li>Employees are required to take the Ishihara's Color Blindness test as a condition of employment. Note that: Failing the Ishihara Test for Color Blindness does not preclude employment. The Company will consider whether reasonable accommodation can be made. <br><br></li></ul><strong>SUPERVISION:<br><br></strong>Assigned oversight of Patient Care Technicians/LPNs/LVNs/RNs as a Team Leader or designated Nurse in Charge, after meeting all the following:<br><br><ul><li>Successful completion of all FKC education and training requirements for new employees. </li><li>Must have a minimum of 9 months experience as a RN. </li><li>Must have a minimum of 3 months experience in chronic/acute hemodialysis as a RN. <br><br></li></ul><strong>EDUCATION and LICENSURE: <br><br></strong><ul><li>Graduate of an accredited School of Nursing. </li><li>Current appropriate state licensure. </li><li>Current or successful completion of CPR BLS Certification. </li><li>Must meet the practice requirements in the state in which he or she is employed. <br><br></li></ul><strong>EXPERIENCE AND REQUIRED SKILLS:<br><br></strong><ul><li>Entry level for RNs with less than 1 year of Nephrology Nursing experience in the last two years as a RN. </li><li>Minimum of 9 months experience as a Registered Nurse (preferred). </li><li>Chronic/acute hemodialysis experience (preferred). <br><br></li></ul><strong>ACKNOWLEDGEMENT:<br><br></strong>I acknowledge that I have read and accepted this job description. I understand what is expected of me in this position, and I am able to perform the essential functions as outlined with or without reasonable accommodation. Furthermore, I understand that the duties and responsibilities listed in this job description are intended only as illustrations of the various types of work that may be performed. The omission of specific statements of duties does not exclude them from the position if the work is similar, related, or a logical assignment to the position. If I have any questions about duties and responsibilities not specified in this job description that I am asked to perform, I should discuss them with my immediate Supervisor or my Human Resources representative.<br><br>Employee Name (Please Print):<br><br>Employee Signature:<br><br>Date:<br><br><strong> ADDENDUM: <br><br></strong><strong><em> FTN Group- International RN <br><br></em></strong><strong> EDUCATION and LICENSURE: <br><br></strong><ul><li> Bachelor’s degree in nursing required and either a CGFNS (Commission on Graduates of Foreign Nursing Schools) Visa Screen Certificate OR an NCLEX (National Council Licensure Examination) pass letter OR a Registered Nursing License in the state of intended employment required. </li><li> Current appropriate state licensure. </li><li> Current or successful completion of CPR BLS Certification. </li><li> Must meet the practice requirements in the state in which he or she is employed. <br><br></li></ul>Employee Name (Please Print):<br><br>Employee Signature:<br><br>Date:<br><br><strong>EO/AA Employer: Minorities/Females/Veterans/Disability/Sexual Orientation/Gender Identity<br><br></strong><strong>Fresenius Medical Care North America maintains a drug-free workplace in accordance with applicable federal and state laws.</strong>",Mid-Senior level,Full-time,Health Care Provider,Hospitals and Health Care,,,,
3828653722,Full Time - Scheduling Staffing Admin - Day,"Lowe's Companies, Inc.","Abbeville, LA",Be among the first 25 applicants,"<strong>What You Will Do<br><br></strong>All Lowe’s associates deliver quality customer service while maintaining a store that is clean, safe, and stocked with the products our customers need. As a Scheduling and Staffing Administrator, this means:<br><br><ul><li> Being friendly, professional, and supporting internal customers (store leadership, HR, and Lowe’s associates) and external customers. </li><li> Monitoring driver and associate scheduling to ensure merchandise can be delivered on time and stocked efficiently. </li><li> Engaging in safe work practices and encouraging others to do the same. <br><br></li></ul>The Scheduling and Staffing Administrator supports store leadership through administrative duties related to staffing, scheduling, talent acquisition training, compliance, and payroll. This role maintains associate paperwork, organizes the break and training rooms, and updates time and attendance records, according to Lowe’s policies and procedures. This role also assists the Store Manager and Assistant Store Manager in reviewing, scheduling and processing prospective candidates through the talent acquisition process. In addition, the Scheduling and Staffing Administrator supports a strong safety culture by handling all administrative tasks related to Worker’s Compensation, General Liability, and Auto Claims. To be successful, the individual in this role must be organized and able to balance many administrative tasks throughout the day.<br><br>The Scheduling and Staffing Administrator works closely with the Store Manager, Assistant Store Managers and Human Resources to support administrative duties and allow these roles to focus on strategic and people leadership activities.<br><br>Travel Requirements: This role does not require regular travel; however, this role may need to travel on occasion to meetings, trainings, or to support neighboring stores.<br><br><strong>What We're Looking For<br><br></strong><ul><li> Hourly Full Time or Part Time: Generally scheduled 39 to 40 or up to 25 hours per week, respectively; more hours may be required based on the needs of the store. </li><li> Requires morning, afternoon and evening availability any day of the week. </li><li> Requests to be scheduled off for a specific day require advanced notification and approval by supervisor. </li><li> Minimally must be able to lift 10 pounds without assistance; may lift over 10 pounds with or without assistance. <br><br></li></ul><strong>Minimum Qualifications<br><br></strong><strong>What You Need To Succeed<br><br></strong><ul><li> High school diploma or equivalent. </li><li> 1 year of experience in a retail environment. </li><li> 2 years of administrative experience such as processing data, scheduling, monitoring and tracking information, and using office software. </li><li> 1 year of experience administering confidential staff information such as personnel files and employment compliance data. </li><li> 1 year of experience in a cross-functional team environment with exempt and non-exempt staff. <br><br></li></ul><strong>Preferred Qualifications<br><br></strong><ul><li> Bachelor’s Degree in Business or a related field. </li><li> 2 years of experience in a retail environment or equivalent and relevant work experience. </li><li> 2 years of experience in a cross-functional team environment with exempt and non-exempt staff. </li><li> 1 year of experience supporting the staffing process (e.g., posting requisitions, screening candidate qualifications, scheduling interviews). <br><br></li></ul><em>Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.<br><br></em>Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",Entry level,Full-time,General Business and Customer Service,Retail,129968.0,Retail,"10,001+ employees","731,967 followers"
